Here is the message log for ticket: ticket-316
----------

PC Creator 2 | <@800618912655081492> <@&697728131003580537>
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | Hlw
 ABHOY | Hi
 AMPW | hi
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | Bro can u tell me y I can't access to oc creator 2?
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | *pc
 AMPW | its not released yet
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | Wut
 AMPW | its a pre release for the usa only for testing
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | <:linus:723508250288455690>
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | Bruh
 ABHOY | <:hahaha6:740166145167982623>
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | Ty for helping
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | Close this ticket
 ABHOY | Hola
 P̳̳ͨa̳̳ͨn̳̳ͨd̳̳ͨa̳̳ͨ | 👍
 AMPW | np
 ABHOY | ,close
 Yui | ,close
 PC Creator 2 | 
 PC Creator 2 | 
 ABHOY | Close
 Yui | Close
